Family,Event_Type,Definition,Model,Basin_Name,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Valid_Grid_Count
Event_Definition,Drought,T08_D10,h08,PSE,0.14248473515325363,0.12050569863458213,0.541786760457612,271
Event_Definition,Drought,T08_D10,h08,SWRB,0.482128744150424,0.019330140409425947,0.9614521927826789,314
Event_Definition,Drought,T08_D10,h08,YHH,1.471612942644811,1.2005285704203617,0.5507241796325174,576
Event_Definition,Drought,T08_D10,h08,YZR,0.20454247319661747,0.09817560557089185,0.6756863482663295,675
Event_Definition,Drought,T08_D10,hydropy,CSL,0.6710840134004922,0.7271912300890973,0.47993699132204415,1985
Event_Definition,Drought,T08_D10,hydropy,PSE,0.13959116285380568,0.03535616334461131,0.7979039513612685,271
Event_Definition,Drought,T08_D10,hydropy,SWRB,0.33636689336500675,0.011522494510664536,0.9668788560035569,312
Event_Definition,Drought,T08_D10,hydropy,YHH,0.3360812552848876,0.24015121131778996,0.5832390133557357,576
Event_Definition,Drought,T08_D10,hydropy,YZR,0.16483185598167574,0.041571403717559706,0.7985913411535442,672
Event_Definition,Drought,T08_D10,jules-w2,CSL,1.3806381112686739,0.07111756331780807,0.9510127189011572,1475
Event_Definition,Drought,T08_D10,jules-w2,PSE,0.14809533744149797,0.011229903730444142,0.9295158529317715,271
Event_Definition,Drought,T08_D10,jules-w2,SWRB,0.3278244904435739,0.021341509066475233,0.9388786161985367,314
Event_Definition,Drought,T08_D10,jules-w2,YHH,0.14787737728589004,0.025311734803176344,0.8538491565788546,568
Event_Definition,Drought,T08_D10,jules-w2,YZR,0.16753646890336885,0.014962826442632785,0.9180115933364857,675
Event_Definition,Drought,T08_D10,lpjml5-7-10-fire,CSL,0.2399464719871726,0.2572370551515116,0.4826114681797211,1208
Event_Definition,Drought,T08_D10,lpjml5-7-10-fire,PSE,0.10110531336967772,0.07896713460644479,0.5614701999446591,271
Event_Definition,Drought,T08_D10,lpjml5-7-10-fire,SWRB,0.25344248720246804,0.09310975966564376,0.7313254768736825,176
Event_Definition,Drought,T08_D10,lpjml5-7-10-fire,YHH,0.15844357834862802,0.2947171583359036,0.34964101150477367,543
Event_Definition,Drought,T08_D10,lpjml5-7-10-fire,YZR,0.12504414519059948,0.13683430411510947,0.4774892532093267,589
Event_Definition,Drought,T08_D10,miroc-integ-land,CSL,0.5228710111015518,0.08298308916456441,0.8630312328857479,1987
Event_Definition,Drought,T08_D10,miroc-integ-land,PSE,0.2052438917188843,0.14023302989334105,0.5940885740242203,271
Event_Definition,Drought,T08_D10,miroc-integ-land,SWRB,7.328903334827666,0.10325183808185304,0.9861074162635611,314
Event_Definition,Drought,T08_D10,miroc-integ-land,YHH,0.35096552236354456,0.49386168869162167,0.4154287619656547,576
Event_Definition,Drought,T08_D10,miroc-integ-land,YZR,0.32014942931269913,0.12100415968600702,0.7257096786616828,675
Event_Definition,Drought,T08_D10,watergap2-2e,CSL,0.48650725792708893,0.2520898159478196,0.6586910172480396,1946
