Model,Event_Type,Basin_Name,Mean_Delta_Total,Mean_Delta_CC,Mean_Delta_HA,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Residual,Valid_Grid_Count
miroc-integ-land,Drought,YHH,0.13193231083087964,-0.01767991408991275,0.1496122249207924,0.3230861672901168,0.4029589126641926,0.44499463767518244,0.0,557
miroc-integ-land,Drought,YZR,0.15136784672887219,0.12139181852888614,0.029976028199986002,0.3731379969645714,0.14838367416196496,0.7154793705092981,4.163336342344337e-17,658
miroc-integ-land,Flood,CSL,-0.03685231681654648,-0.025849871551494197,-0.011002445265052273,0.2977387389156424,0.054223241393476534,0.8459400604978591,-8.673617379884035e-18,1957
miroc-integ-land,Flood,PSE,-0.035666077091705016,0.006902725736322289,-0.0425688028280273,0.11262004505779236,0.14505805777886477,0.4370571027107511,0.0,271
miroc-integ-land,Flood,SWRB,-0.018176867599339317,-0.002319904876962286,-0.01585696272237703,0.5670792624454993,0.07673843401134987,0.8808071998740203,-3.469446951953614e-18,313
miroc-integ-land,Flood,YHH,0.1231387654010413,0.061201203962305016,0.06193756143873627,0.18418427912025498,0.20858935063753248,0.4689323955730844,6.938893903907228e-18,575
miroc-integ-land,Flood,YZR,0.07408093353979864,0.05964141920536018,0.014439514334438446,0.1899477523040116,0.09980264354481365,0.6555564893968779,1.0408340855860843e-17,674
watergap2-2e,Drought,CSL,0.06107950341350532,0.1002415754781994,-0.03916207206469406,0.33169211744461574,0.20222703320662366,0.6212403451721848,-1.3877787807814457e-17,1912
watergap2-2e,Drought,PSE,-0.012733740228856755,0.01876989815971303,-0.03150363838856979,0.11578436025909275,0.08795743683510138,0.5682896779670752,0.0,270
watergap2-2e,Drought,SWRB,0.20396578785744615,0.24651221826800676,-0.04254643041056067,0.3016726550648717,0.05403015022226931,0.8481031090585482,6.245004513516506e-17,312
watergap2-2e,Drought,YHH,0.15213249282250427,0.017255706290442107,0.13487678653206212,0.18070861393877927,0.30118480758874355,0.3749970550873318,5.551115123125783e-17,570
watergap2-2e,Drought,YZR,0.013669565607187665,0.0538486896558487,-0.04017912404866103,0.16850252602896434,0.07637938138062071,0.6880970824321867,-6.938893903907228e-18,674
watergap2-2e,Flood,CSL,0.15313851514233368,0.16442313107049517,-0.011284615928161499,0.3192042118681499,0.12490307539923189,0.7187547266612808,8.673617379884035e-18,1946
watergap2-2e,Flood,PSE,0.008063834331951833,0.00026833473145685874,0.007795499600494973,0.06765850323583951,0.04392023111594514,0.6063745356935691,8.673617379884035e-19,271
watergap2-2e,Flood,SWRB,0.1746575181590063,0.19072680333062655,-0.016069285171620283,0.24544900771310985,0.030211038596354812,0.8904047249471947,2.0816681711721685e-17,314
watergap2-2e,Flood,YHH,0.052532887490936125,0.06241702340624083,-0.0098841359153047,0.1376605345091728,0.1035646255815855,0.5706723728875526,-1.734723475976807e-18,573
watergap2-2e,Flood,YZR,0.07089282695353483,0.06668262625341198,0.0042102007001228675,0.11265081434053378,0.032061008397529664,0.7784492808472057,-2.168404344971009e-17,673
web-dhm-sg,Drought,CSL,0.021943158190371636,-0.015929679735624567,0.03787283792599619,0.23125185742752175,0.11781351820664411,0.6624886728091953,1.3877787807814457e-17,830
