Grid_ID,Lon,Lat,Event_Type,Delta_Total_mean_ScenarioSpecific,Delta_HA_mean_ScenarioSpecific,Delta_CC_mean_ScenarioSpecific,Delta_Total_mean_CommonReference,Delta_HA_mean_CommonReference,Delta_CC_mean_CommonReference
1122,120.75,50.25,Drought,-0.3300669419656755,-0.0681678149463301,-0.2618991270193453,-0.2499239258571508,-0.051296985516108,-0.1986269403410427
1123,121.25,50.25,Drought,-0.1402402000024659,0.0017109102385519,-0.1419511102410179,-0.17641707026723,0.008605218316544,-0.1850222885837741
1124,121.75,50.25,Drought,-0.1665733689515821,0.0205465056187104,-0.1871198745702925,-0.2215472225587633,-0.0110452212600882,-0.2105020012986751
1125,122.25,50.25,Drought,-0.1428322873537269,-0.039614853612936,-0.1032174337407908,-0.2086195213767398,-0.0152436467712225,-0.1933758746055172
1126,122.75,50.25,Drought,-0.2499776596347799,0.0310445951952241,-0.2810222548300041,-0.2302707406423253,0.0301013021121934,-0.2603720427545187
1127,123.25,50.25,Drought,-0.1580016244670914,-0.0159421108323577,-0.1420595136347337,-0.1508669300107307,-0.0168084594792612,-0.1340584705314695
1128,123.75,50.25,Drought,-0.2596611933876621,0.0017072030812222,-0.2613683964688844,-0.2054154985817823,0.0033839818872797,-0.208799480469062
1129,124.25,50.25,Drought,-0.1068884399492667,0.0324784686854579,-0.1393669086347247,-0.0703452001941307,0.021416655948076,-0.0917618561422067
1130,124.75,50.25,Drought,-0.1306964601608993,-0.0241742744904691,-0.1065221856704301,-0.1701784916727883,0.0364035232644953,-0.2065820149372837
1131,125.25,50.25,Drought,-0.096751067993003,-0.0287820926118798,-0.0679689753811231,-0.0320854651762712,0.0750694335215826,-0.1071548986978539
1132,125.75,50.25,Drought,-0.0466015615687004,0.0325170556947222,-0.0791186172634227,-0.186614317195471,0.0601097132902027,-0.2467240304856737
1133,126.25,50.25,Drought,-0.2596569095797656,0.0135715157269351,-0.2732284253067008,-0.2726075138652998,0.006201487241928,-0.2788090011072279
1134,126.75,50.25,Drought,-0.2632562074462662,0.0063974293819032,-0.2696536368281694,-0.2805083280983748,0.0184493107861382,-0.2989576388845131
1135,127.25,50.25,Drought,-0.2958080584084655,-0.0132124994203345,-0.282595558988131,-0.2828480278949655,0.0058085185309703,-0.2886565464259359
1242,116.75,49.75,Drought,0.1874888394486874,0.030395156221802,0.1570936832268854,-1.7438321124046428,-0.2388694092046352,-1.504962703200008
1246,118.75,49.75,Drought,-0.0916122627839048,0.0094165382803601,-0.101028801064265,-0.0045672140476599,0.046804437402028,-0.0513716514496879
1247,119.25,49.75,Drought,-0.0647817102814797,0.0125808446295182,-0.0773625549109979,-0.0692364136965559,0.0332483715661286,-0.1024847852626845
1248,119.75,49.75,Drought,-0.0557861725277751,0.0516845450411127,-0.1074707175688879,-0.0784131149821599,-0.0595820426821821,-0.0188310722999778
1249,120.25,49.75,Drought,-0.2643850344653484,-0.0132368426652107,-0.2511481918001376,-0.0956509286521276,-0.0025791528441473,-0.0930717758079802
1250,120.75,49.75,Drought,-0.1333468530472768,0.0732696606942127,-0.2066165137414896,-0.1049680675512208,-0.0448903313904066,-0.0600777361608141
1251,121.25,49.75,Drought,-0.0165905255057611,0.046763070545403,-0.0633535960511641,-0.1396849779549924,0.0445013650484971,-0.1841863430034896
1252,121.75,49.75,Drought,-0.2720427256378849,-0.0266650389261928,-0.245377686711692,-0.1595760497653947,-0.0119104618485587,-0.147665587916836
1253,122.25,49.75,Drought,-0.1169881455287696,0.0168245198400097,-0.1338126653687793,-0.1702418684107014,-0.0100638694610565,-0.1601779989496448
1254,122.75,49.75,Drought,-0.0741943930652773,-0.0068886028138998,-0.0673057902513774,-0.1628294364325417,-0.010253815870784,-0.1525756205617576
1255,123.25,49.75,Drought,-0.1529650215491284,0.0390820763172062,-0.1920470978663347,-0.1911255061162343,-0.0107377456832737,-0.1803877604329605
1256,123.75,49.75,Drought,-0.2584633770199427,0.0218031698586888,-0.2802665468786316,-0.1404340774767006,0.0252683232725084,-0.165702400749209
1257,124.25,49.75,Drought,-0.3455391385256008,-0.0001738737541323,-0.3453652647714685,-0.2069020822844292,-0.0461458067784553,-0.1607562755059738
1258,124.75,49.75,Drought,-0.1951097388264682,0.2534305583053093,-0.4485402971317775,-0.1247863112246,0.0313219689844667,-0.1561082802090667
